run_id,config_label,baseline_variant,variant,filename,base_property_result,variant_property_result,base_total_time_s,variant_total_time_s,time_ratio_variant_over_base,delta_total_time_s,comparison
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3.lus,Safe,Safe,0.107000,0.165000,1.542056,0.058000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,Safe,Safe,3.128000,5.375000,1.718350,2.247000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,Safe,Safe,1.955000,1.772000,0.906394,-0.183000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_7_e2_2872_e3_2640.lus,Safe,Safe,0.119000,0.118000,0.991597,-0.001000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_9_e7_1843_e2_1145.lus,Safe,Safe,0.094000,0.095000,1.010638,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_8_e7_3752.lus,Safe,Safe,1.096000,1.340000,1.222628,0.244000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_12_e2_1618_e3_2012.lus,Safe,Safe,1.305000,1.773000,1.358621,0.468000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528.lus,Unsafe,Unsafe,0.729000,0.587000,0.805213,-0.142000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_1.lus,Safe,Safe,0.088000,0.083000,0.943182,-0.005000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_8_e3_786_e7_4541.lus,Safe,Safe,2.942000,0.710000,0.241332,-2.232000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_5_e7_2017_e2_664.lus,Unsafe,Unsafe,0.091000,0.151000,1.659341,0.060000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_10_e7_919_e2_3192.lus,Safe,Safe,0.046000,0.046000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e1_725.lus,Unsafe,Unsafe,0.044000,0.048000,1.090909,0.004000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_8_e2_1711.lus,Safe,Safe,0.045000,0.047000,1.044444,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_2_e2_4481.lus,Safe,Safe,0.062000,0.065000,1.048387,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e1_1486.lus,Unsafe,Unsafe,0.053000,0.055000,1.037736,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all_e1_4037.lus,Safe,Safe,0.158000,0.158000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e7_1403.lus,Unsafe,Unsafe,0.019000,0.019000,1.000000,0.000000,tie
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288.lus,Safe,Safe,0.072000,0.075000,1.041667,0.003000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,Timeout,Timeout,,,,,unsolved_both
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e2_3049_e3_2697.lus,Unsafe,Unsafe,0.042000,0.044000,1.047619,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671_e2_2131.lus,Unsafe,Unsafe,0.055000,0.057000,1.036364,0.002000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e7_906.lus,Unsafe,Unsafe,0.020000,0.021000,1.050000,0.001000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e2_2670.lus,Unsafe,Unsafe,0.061000,0.065000,1.065574,0.004000,loss
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all_e1_4022_e2_267.lus,Safe,Safe,0.181000,0.151000,0.834254,-0.030000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e7_2614.lus,Unsafe,Unsafe,0.021000,0.020000,0.952381,-0.001000,win
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,asc_l1l2,FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e2_5774.lus,Timeout,Timeout,,,,,unsolved_both
