run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/ums.lus,Safe,2,0.089,2,33,42.22,0.53,0.11,0,false,Safe,8,0.274,2,148,46.22,0.73,0.28,0,false,Safe,4,0.144,2,68,45.49,0.63,0.17,0,false,Safe,2,0.092,2,33,90.11,0.53,0.38,0,false,Safe,2,0.095,2,33,90.25,0.52,0.30,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell.lus,Safe,5,0.078,2,73,44.34,0.54,0.10,0,false,Safe,5,0.112,2,73,41.18,0.54,0.13,0,false,Safe,5,0.075,2,73,41.59,0.52,0.10,0,false,Safe,5,0.079,2,73,95.06,0.52,0.25,0,false,Safe,5,0.082,2,73,93.62,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/tramway_e7_1834.lus,Safe,3,0.074,2,47,43.21,0.52,0.09,0,false,Safe,3,0.100,2,47,43.12,0.54,0.12,0,false,Safe,3,0.075,2,47,44.96,0.52,0.10,0,false,Safe,3,0.078,2,47,91.08,0.53,0.25,0,false,Safe,3,0.079,2,47,90.95,0.52,0.25,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e8_6_e7_651.lus,Unsafe,,0.016,0,2,20.81,0.43,0.05,40,false,Unsafe,,0.017,0,2,41.30,0.53,0.05,40,false,Unsafe,,0.017,0,2,21.11,0.53,0.06,40,false,Unsafe,,0.015,0,2,21.23,0.42,0.08,40,false,Unsafe,,0.016,0,2,21.38,0.42,0.08,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e8_6_e8_427.lus,Unsafe,3,0.075,1,53,44.21,0.53,0.11,40,false,Unsafe,3,0.076,1,53,42.20,0.53,0.10,40,false,Unsafe,3,0.074,1,53,44.55,0.52,0.10,40,false,Unsafe,3,0.075,1,53,94.56,0.54,0.25,40,false,Unsafe,3,0.078,1,53,94.62,0.52,0.25,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_4_e7_2197.lus,Unsafe,6 4,0.272,2,169,47.65,0.73,0.27,40,false,Unsafe,3 2,0.166,2,68,47.31,0.65,0.16,40,false,Unsafe,5 3,0.209,2,152,47.54,0.75,0.25,40,false,Unsafe,4 3,0.185,2,137,104.04,0.63,0.50,40,false,Unsafe,6 4,0.274,2,169,105.20,0.86,0.79,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_9.lus,Safe,1,0.058,2,25,46.57,0.52,0.11,0,false,Safe,1,0.057,2,24,37.19,0.52,0.11,0,false,Safe,1,0.057,2,25,19.49,0.52,0.10,0,false,Safe,1,0.058,2,25,20.33,0.52,0.21,0,false,Safe,1,0.058,2,25,41.34,0.53,0.23,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_6.lus,Safe,2,0.079,2,41,50.73,0.52,0.13,0,false,Safe,2,0.082,2,41,43.82,0.62,0.12,0,false,Safe,2,0.083,2,41,47.52,0.62,0.13,0,false,Safe,2,0.083,2,41,94.41,0.52,0.28,0,false,Safe,2,0.086,2,41,91.23,0.52,0.30,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/swimmingpool_6.lus,Unsafe,6 3 1,0.582,3,355,49.48,1.05,0.60,40,false,Unsafe,3 2 1,0.279,3,189,47.90,0.75,0.29,40,false,Unsafe,9 8 5 2,0.720,4,607,49.90,1.14,0.73,40,false,Unsafe,4 3 1,0.308,3,233,105.29,0.75,0.97,40,false,Unsafe,6 3 1,0.607,3,355,109.32,1.16,1.88,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Int/protocol/rtp_7.lus,Safe,1,0.056,2,27,42.24,0.54,0.10,0,false,Safe,1,0.057,2,26,35.93,0.54,0.11,0,false,Safe,1,0.057,2,27,19.58,0.52,0.10,0,false,Safe,1,0.055,2,27,32.02,0.52,0.20,0,false,Safe,1,0.056,2,27,50.46,0.52,0.21,0,false
