filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392.lus,Safe,4,0.118,2,73,98.74,0.63,0.38,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_10_e3_144_e7_523.lus,Unsafe,,0.023,0,2,47.91,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_6.lus,Safe,1,0.067,2,25,20.16,0.52,0.24,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e7_2146.lus,Unsafe,,0.019,0,2,64.35,0.52,0.10,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_3_e1_2217_e3_1200.lus,Safe,26 23 20 17 8,2.341,6,2185,121.15,2.82,6.97,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e7_471.lus,Unsafe,,0.020,0,2,94.39,0.52,0.11,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e3_2330.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_5.lus,Safe,10 8 5,0.576,4,418,108.61,1.05,1.72,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e2_2673.lus,Safe,1,0.047,2,24,93.12,0.53,0.17,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e1_3406.lus,Unsafe,2,0.109,1,42,99.10,0.52,0.37,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_6_e7_5046_e7_3623.lus,Safe,1,0.065,2,25,53.78,0.52,0.24,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e1_1565.lus,Unsafe,0,0.043,1,9,64.74,0.62,0.17,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e2_2755.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e1_3235.lus,Safe,4,0.109,2,69,91.48,0.63,0.36,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e2_3460_e3_1333.lus,Unsafe,0,0.046,1,9,27.76,0.53,0.19,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_all_e3_5957.lus,Safe,5,0.180,2,86,105.97,0.75,0.61,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644.lus,Safe,1,0.066,2,22,56.79,0.52,0.24,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_12.lus,Safe,23 20 16 7,2.569,4,1805,123.84,3.03,7.70,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e7_5406_e2_3084.lus,Unsafe,,0.030,0,2,66.06,0.53,0.18,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_9_e7_1843_e1_5434.lus,Safe,2,0.098,2,41,66.45,0.63,0.34,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_3_e2_2236.lus,Safe,1,0.046,2,25,91.83,0.52,0.17,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753.lus,Unsafe,20 12,0.939,2,599,112.72,1.47,2.93,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,Safe,26 21 15 7,3.061,5,2315,125.68,3.66,9.53,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e1_5887.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_14_e2_3606.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e3_2970.lus,Safe,4,0.116,2,73,103.48,0.64,0.38,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e2_2812.lus,Safe,1 0,0.204,3,157,103.35,0.63,0.62,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all_e3_4821_e5_1536.lus,Safe,4,0.161,2,71,105.05,0.63,0.53,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_4.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_11.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e2_3220.lus,Safe,1 0,0.246,3,170,106.11,0.73,0.74,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_4_e2_325.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_8_e2_3896_e3_3125.lus,Safe,12 11 2 1,1.595,4,868,116.85,1.99,4.73,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_3_e7_4884.lus,Unsafe,,0.024,0,2,57.04,0.52,0.14,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e1_1139_e3_1839.lus,Unsafe,0,0.061,1,17,94.11,0.53,0.22,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e3_422.lus,Safe,3 2,0.133,3,106,104.02,0.63,0.42,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e1_1489.lus,Safe,1,0.046,2,24,57.00,0.53,0.17,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all_e1_4022_e7_2886.lus,Unsafe,,0.026,0,2,21.89,0.52,0.15,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e4_2415.lus,Unsafe,1,0.089,1,31,90.54,0.53,0.31,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_5.lus,Safe,2,0.074,2,41,98.56,0.52,0.25,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_1.lus,Safe,1,0.048,2,20,100.12,0.52,0.17,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e7_3568.lus,Unsafe,,0.019,0,2,21.79,0.52,0.11,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_5_e2_2229.lus,Safe,1,0.049,2,25,100.61,0.54,0.18,0,false,base_x3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e5_3642.lus,Timeout,,,,,,,,,true,base_x3
FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,Safe,9 7 4,0.507,4,385,108.59,1.05,1.55,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_2.lus,Safe,10 8 5,0.473,4,527,106.80,0.95,1.43,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e3_1928.lus,Unsafe,1,0.081,1,27,89.16,0.52,0.29,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e1_1207_e7_156.lus,Unsafe,,0.020,0,2,98.97,0.52,0.11,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_9_e7_1843_e3_5316.lus,Safe,1,0.069,2,25,55.41,0.52,0.25,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e5_3248.lus,Safe,3 2,0.132,3,101,103.91,0.63,0.41,0,false,base_x3
