filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/simulation/metros_4_e2_968_e6_236.lus,Unsafe,42 8,27.338,2,6827,99.01,27.84,27.02,40,false,base
FMCAD08/Int/simulation/metros_2_e1_1116_e1_556.lus,Unsafe,50 36 27 19 14 6,40.387,6,14295,115.19,40.91,39.96,40,false,base
FMCAD08/Int/simulation/metros_2_e2_704_e1_389.lus,Unsafe,24 16 10 6 2,6.114,5,3927,68.29,6.54,6.03,40,false,base
FMCAD08/Int/simulation/car_6_e2_589_e2_506.lus,Unsafe,11 2,0.526,2,459,48.48,0.94,0.54,40,false,base
FMCAD08/Int/simulation/speed_e7_207.lus,Safe,0,0.026,2,12,44.09,0.52,0.04,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e1_1350.lus,Timeout,18 16 13 12 11 10 9 8 7 6 5 3,52.494,12,20189,322.87,300.23,88.76,30,true,base
FMCAD08/Int/simulation/metros_1_e1_846_e7_397.lus,Safe,4 1 0,0.997,4,1087,52.37,1.46,0.98,0,false,base
FMCAD08/Int/simulation/metros_2_e2_968.lus,Unsafe,50 37 28 21 16 13 10 7 3,45.466,9,14838,116.84,45.93,44.88,40,false,base
FMCAD08/Int/simulation/cd_e7_621_e7_669.lus,Unsafe,9 8 7 6 5 4 2 0,1.279,8,1814,52.01,1.79,1.29,40,false,base
FMCAD08/Int/simulation/car_all_e3_1068_e3_163.lus,Unsafe,,0.014,0,2,32.55,0.52,0.04,40,false,base
FMCAD08/Int/simulation/metros_2_e2_704_e2_13.lus,Safe,6 5 2,0.812,4,919,50.79,1.25,0.80,0,false,base
FMCAD08/Int/simulation/metros_4_e5_1150.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/hysteresis_1.lus,Safe,0,0.025,2,12,44.47,0.53,0.04,0,false,base
FMCAD08/Int/simulation/metros_1_e7_606.lus,Safe,9 7 5,0.801,4,821,50.20,1.27,0.80,0,false,base
FMCAD08/Int/simulation/hysteresis_3.lus,Safe,3 2,0.112,3,129,45.62,0.64,0.12,0,false,base
FMCAD08/Int/simulation/fast_1_e8_751.lus,Safe,2 1,0.187,3,189,46.88,0.63,0.21,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e7_529.lus,Timeout,8 4 2,0.911,3,951,354.80,302.30,1.28,1,true,base
FMCAD08/Int/simulation/PRODUCER_CONSUMER_vt_e3_507.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/car_3_e2_695.lus,Safe,1,0.037,2,27,45.79,0.52,0.06,0,false,base
FMCAD08/Int/simulation/car_5_e2_405_e2_1083.lus,Unsafe,8 1,0.501,2,391,48.52,0.94,0.51,40,false,base
FMCAD08/Int/simulation/fast_1.lus,Safe,2 1,0.194,3,193,47.16,0.62,0.21,0,false,base
FMCAD08/Int/simulation/car_6_e2_589_e3_349.lus,Unsafe,10 1,0.561,2,454,49.13,1.04,0.57,40,false,base
FMCAD08/Int/simulation/fast_2.lus,Safe,2 1,0.299,3,277,48.04,0.73,0.31,0,false,base
FMCAD08/Int/simulation/fast_1_e8_747_e7_692.lus,Unsafe,,0.023,0,2,44.54,0.54,0.06,40,false,base
FMCAD08/Int/simulation/metros_1_e2_627.lus,Safe,2 1 0,0.753,4,742,50.73,1.25,0.76,0,false,base
FMCAD08/Int/simulation/metros_2_e2_704_e3_76.lus,Unsafe,11 6 2,1.617,3,1199,53.97,2.08,1.61,40,false,base
FMCAD08/Int/simulation/speed_e8_649.lus,Safe,0,0.025,2,12,44.34,0.53,0.04,0,false,base
FMCAD08/Int/simulation/speed2.lus,Safe,4 3,0.111,3,138,46.20,0.52,0.12,0,false,base
FMCAD08/Int/simulation/car_3_e8_33_e2_1010.lus,Safe,1,0.034,2,27,33.64,0.52,0.05,0,false,base
FMCAD08/Int/simulation/metros_3_e4_987_e2_80.lus,Timeout,"29 27 25 21 19 17 16 15 14 13 12 11
                                            10 9 8 7 6 5 4 3",280.616,20,47729,205.37,300.23,65.36,30,true,base
FMCAD08/Int/simulation/car_4_e8_118_e3_514.lus,Unsafe,,0.013,0,2,32.41,0.52,0.04,40,false,base
FMCAD08/Int/simulation/fast_1_e7_2044.lus,Unsafe,,0.023,0,2,34.30,0.53,0.06,40,false,base
FMCAD08/Int/simulation/metros_4_e2_968.lus,Timeout,5 3 1,0.437,3,463,357.00,302.27,1.27,1,true,base
FMCAD08/Int/simulation/metros_2.lus,Safe,"125 123 120 117 112 106 98 88 76 62
                                            45 23",95.707,13,33027,144.46,96.17,94.76,0,false,base
FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,Unsafe,17 4,1.111,2,853,50.91,1.58,1.12,40,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e5_846.lus,Unsafe,93 88 41 9,279.546,4,23967,332.52,280.03,279.20,40,false,base
FMCAD08/Int/simulation/metros_5.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/speed2_e8_449_e8_517.lus,Safe,5 3,0.125,3,145,46.21,0.62,0.13,0,false,base
FMCAD08/Int/simulation/speed2_e7_223_e8_329.lus,Safe,4 3,0.111,3,138,46.12,0.53,0.12,0,false,base
FMCAD08/Int/simulation/PRODUCER_CONSUMMER_luke_2_e7_1068_e8_1019.lus,Timeout,,,,,,,,,true,base
FMCAD08/Int/simulation/fast_2_e8_460_e8_1920.lus,Safe,1 0,0.256,3,239,47.63,0.74,0.28,0,false,base
FMCAD08/Int/simulation/speed_e7_207_e7_538.lus,Safe,0,0.026,2,12,44.34,0.53,0.04,0,false,base
FMCAD08/Int/simulation/metros_3_e3_1275_e2_454.lus,Safe,5 3,0.187,3,173,47.54,0.62,0.20,0,false,base
FMCAD08/Int/simulation/fast_2_e7_2526.lus,Unsafe,,0.026,0,2,43.41,0.53,0.06,40,false,base
FMCAD08/Int/simulation/metros_4_e3_1091_e2_1317.lus,Safe,5 3,0.189,3,173,48.00,0.62,0.20,0,false,base
FMCAD08/Int/simulation/fast_2_e7_2526_e7_2736.lus,Unsafe,,0.027,0,2,43.88,0.54,0.07,40,false,base
FMCAD08/Int/simulation/metros_4_e2_968_e7_860.lus,Unsafe,85 69 38 23 8,65.146,5,13829,149.72,65.63,64.54,40,false,base
FMCAD08/Int/simulation/car_4_e7_592_e3_442.lus,Unsafe,,0.012,0,2,32.35,0.52,0.04,40,false,base
FMCAD08/Int/simulation/car_5_e7_244.lus,Safe,57 55 51 49 47 45 43 40 38 31 21 11,58.863,13,27842,119.53,59.29,58.22,0,false,base
FMCAD08/Int/simulation/fast_1_e8_747_e8_1041.lus,Safe,2 1,0.170,3,171,47.16,0.62,0.19,0,false,base
FMCAD08/Int/simulation/speed2_e8_449.lus,Safe,1 0,0.072,3,86,33.99,0.62,0.08,0,false,base
FMCAD08/Int/simulation/car_4_e3_57.lus,Unsafe,,0.019,0,2,20.34,0.53,0.06,40,false,base
