filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Real_Int/large/cruise_controller_12.lus,Safe,2 1,0.651,3,151,111.08,1.25,0.78,0,false,asc_l1l2
FMCAD08/Real_Int/large/cruise_controller_22.lus,Unsafe,0,15.275,2,1644,149.41,15.85,15.43,40,false,asc_l1l2
FMCAD08/Real_Int/large/cruise_controller_01.lus,Safe,6 4 2,5.515,4,726,72.07,6.01,5.56,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp21.lus,Unsafe,47 19,74.162,2,4076,299.02,75.83,75.32,40,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp16.lus,Safe,0,0.018,2,12,20.75,0.52,0.07,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_14.lus,Safe,3 2,2.320,3,129,79.46,2.90,2.47,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_20.lus,Timeout,15,9.377,1,274,88.59,300.21,300.08,30,true,asc_l1l2
FMCAD08/Real_Int32/large/ccp08.lus,Safe,3 2,2.468,3,147,254.70,3.32,2.90,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_05.lus,Safe,0,0.038,2,12,35.62,0.53,0.13,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_19.lus,Safe,6 2 1 0,10.045,5,1608,88.69,10.69,10.18,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp10.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_18.lus,Safe,9 4 2 1 0,16.524,6,2900,149.73,17.09,16.67,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_08.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Real_Int32/large/ccp02.lus,Safe,3 2 1,12.978,4,377,135.88,13.56,13.16,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_06.lus,Safe,0,0.050,2,12,150.42,0.73,0.23,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp12.lus,Unsafe,31 19,97.300,2,1685,373.93,98.37,98.20,40,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_03.lus,Safe,3 2 1,4.263,4,361,79.30,4.78,4.37,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_23.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Real_Int32/large/ccp18.lus,Safe,4 3,10.120,3,189,276.41,10.99,10.59,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp04.lus,Safe,2,1.911,2,41,133.50,2.49,2.08,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_07.lus,Safe,0,0.048,2,12,41.98,0.64,0.20,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_17.lus,Timeout,,,,,132.31,302.30,1.32,1,true,asc_l1l2
FMCAD08/Real_Int32/large/ccp19.lus,Safe,0,0.053,2,12,323.50,1.06,0.58,0,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_09.lus,Timeout,,,,,,,,,true,asc_l1l2
FMCAD08/Real_Int32/large/ccp23.lus,Unsafe,97 66 27,217.115,3,11366,245.16,218.70,218.33,40,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_21.lus,Unsafe,,0.027,0,1,142.03,0.73,0.28,40,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp17.lus,Safe,5 2 0,9.483,4,835,351.43,10.38,9.97,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp01.lus,Safe,3 2 1,14.173,4,337,128.92,14.74,14.37,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp05.lus,Safe,0,0.043,2,12,119.62,0.63,0.21,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp14.lus,Error,41 35 25 14,149.015,4,5427,331.23,149.89,154.75,30,false,asc_l1l2
FMCAD08/Real_Int32/large/cruise_controller_24.lus,Safe,6 5,1.211,3,183,76.04,1.77,1.35,0,false,asc_l1l2
FMCAD08/Real_Int32/large/ccp20.lus,Safe,6 2 0,26.032,4,1393,362.25,26.93,26.56,0,false,asc_l1l2
