filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/FIREFLY_a3_e2_2086_e7_2614.lus,Unsafe,,0.019,0,2,94.21,0.53,0.11,40,false,pic3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e2_5774.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e7_3681.lus,Safe,2,0.065,2,41,22.24,0.52,0.22,0,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e7_25_e3_829.lus,Unsafe,,0.023,0,2,88.35,0.53,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_4.lus,Safe,1,0.049,2,27,20.06,0.53,0.18,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_1_e1_1092_e2_1853.lus,Safe,1,0.043,2,20,98.95,0.53,0.16,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375.lus,Unsafe,3 1,0.212,2,139,104.25,0.63,0.62,40,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e7_25_e1_154.lus,Unsafe,,0.023,0,2,22.94,0.52,0.13,40,false,pic3
FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501.lus,Safe,2,0.096,2,41,93.89,0.52,0.33,0,false,pic3
FMCAD08/Int/memory1/DRAGON_all.lus,Safe,5,0.182,2,92,105.33,0.63,0.55,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e3_671.lus,Unsafe,0,0.046,1,9,98.54,0.53,0.18,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e5_84.lus,Unsafe,0,0.062,1,17,93.79,0.52,0.22,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_rt_e1_913_e2_3353.lus,Safe,1,0.052,2,27,102.08,0.52,0.18,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_a3_e2_2952.lus,Safe,4,0.112,2,73,93.99,0.65,0.38,0,false,pic3
FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888.lus,Safe,1,0.062,2,25,26.99,0.52,0.22,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1a_e2_284_e3_3091.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_7.lus,Safe,33 22 12 10 7,29.384,6,12664,245.41,30.20,69.82,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_all_e3_3496.lus,Unsafe,3,0.102,1,53,93.41,0.52,0.30,40,false,pic3
FMCAD08/Int/memory1/DRAGON_14_e3_1259_e1_5798.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_2574.lus,Unsafe,,0.018,0,2,64.04,0.43,0.11,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e3_1882.lus,Safe,1,0.046,2,25,99.49,0.53,0.16,0,false,pic3
FMCAD08/Int/memory1/DRAGON_3.lus,Safe,1,0.071,2,27,66.01,0.63,0.27,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_11_e3_2076_e1_1270.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_4_e2_2799_e1_1303.lus,Safe,34 29 21 11,3.627,5,2782,131.90,4.18,11.00,0,false,pic3
FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881.lus,Safe,1,0.064,2,25,43.54,0.52,0.25,0,false,pic3
FMCAD08/Int/memory1/DRAGON_14.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e2_1058.lus,Safe,2,0.063,2,41,97.89,0.52,0.21,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e7_3594.lus,Safe,1,0.049,2,25,19.88,0.54,0.18,0,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580.lus,Safe,1,0.063,2,22,88.27,0.52,0.23,0,false,pic3
FMCAD08/Int/memory1/DRAGON_13_e7_2336_e7_685.lus,Unsafe,,0.025,0,2,21.74,0.52,0.16,40,false,pic3
FMCAD08/Int/memory1/DRAGON_2_e7_25.lus,Unsafe,,0.023,0,2,39.52,0.52,0.17,40,false,pic3
FMCAD08/Int/memory1/DRAGON_11_e1_2450_e7_5791.lus,Unsafe,,0.024,0,2,21.65,0.55,0.14,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e2_1923.lus,Safe,3 2,0.125,3,101,103.71,0.63,0.39,0,false,pic3
FMCAD08/Int/memory1/FIREFLY_2_e3_151_e3_1540.lus,Unsafe,0,0.063,1,22,98.70,0.52,0.22,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_5.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e4_3719.lus,Timeout,,,,,,,,,true,pic3
FMCAD08/Int/memory1/DRAGON_all2_e8_4626.lus,Unsafe,,0.027,0,2,31.96,0.54,0.17,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e7_3191_e1_1303.lus,Unsafe,,0.019,0,2,98.66,0.54,0.11,40,false,pic3
FMCAD08/Int/memory1/FIREFLY_luke_1b.lus,Safe,1,0.050,2,22,20.14,0.53,0.20,0,false,pic3
